iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
1,442.584353685379,48,48,48,5376,4.203651428222656,436.2341456413269,8.716671148935953,0.07979751025453378,1.3413270711898804,0.10184162494715038,8.193625410397848,0.0010437945780484672,0.000300390625,19.85698664188385,1.1498392414433969,3.3600000000000004e-05,1278.8881504080903,65.0,0.0,0,20000,100,38,61,1,98.84751825905501,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,skipped
2,895.2498054504395,48,48,48,5376,1.6130969524383545,448.9900200366974,8.709967295328775,0.05849815212425208,1.2763884117205937,0.11250544722615526,8.193630198637644,0.000821027751472077,0.0003,19.363555192947388,1.1176948060605754,6.720000000000001e-05,3332.719705330574,65.0,34.04,6808,20000,100,44,55,1,98.83484196468319,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,skipped
3,1364.9617726802826,48,48,48,5376,1.859544038772583,465.4837152957916,8.737126966317495,0.06109695826618081,1.2208159466584523,0.10741685928741145,8.194276173909506,0.0007282839961798499,0.00029960937499999996,19.941357771555584,1.0125731457747693,0.0001008,2891.0312893414994,65.0,68.23,13646,20000,100,46,52,2,98.86696832579186,0.0,98.0,0.0,2.0,0.0,0.0,0.0,0.0,skipped
4,1833.8127710819244,48,48,48,5376,1.8548846244812012,464.56765246391296,8.691318114598593,0.06056444710786742,1.1724634133279324,0.09304899034393863,8.19422298669815,0.000796657071936041,0.00029921874999999995,19.6757554213206,0.7681529044955617,0.00013440000000000001,2898.293472837229,65.0,100.0,20000,20000,100,52,47,1,98.88492902446391,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,skipped
5,2302.8287210464478,48,48,48,5376,1.5789082050323486,466.22780299186707,8.69309949874878,0.07181173766696272,1.1504583929975827,0.08213937919823035,8.194438258806864,0.0006838339723389121,0.000298828125,19.587350765864056,0.6295259688320559,0.000168,3404.884452981772,65.0,100.0,20000,20000,100,51,47,2,98.87912753710997,0.0,98.0,0.0,2.0,0.0,0.0,0.0,0.0,skipped
6,2766.283100128174,48,48,48,5376,1.7996015548706055,458.6296863555908,8.700984835624695,0.06758556291689688,1.149429092804591,0.08128990550182462,8.194612602392832,0.000776814569979318,0.0002984375,19.47469969590505,0.6778529392079149,0.0002016,2987.327936814627,65.0,100.0,20000,20000,100,54,44,2,98.84593502021261,0.0,98.0,0.0,2.0,0.0,0.0,0.0,0.0,skipped
7,3230.297955274582,48,48,48,5376,1.9060773849487305,459.9257538318634,8.670528690020243,0.08375562919959043,1.1880419577161472,0.09624580937542972,8.194698333740234,0.0008564370149965476,0.00029804687499999997,19.90137545267741,0.6913383445736119,0.00023520000000000002,2820.4521193375385,65.0,100.0,20000,20000,100,47,53,0,98.94478527607362,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped
8,3703.118237257004,48,48,48,5376,1.8121967315673828,468.6837959289551,8.671484529972076,0.08272625698315986,1.1805967378119628,0.0976565611012038,8.195678214232126,0.0009220845043198853,0.00029765624999999996,19.77837598323822,0.5800275440267307,0.00026880000000000003,2966.5653327551563,65.0,100.0,20000,20000,100,56,44,0,98.90688872066616,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped
9,4161.001130819321,48,48,48,5376,1.5440528392791748,455.06378388404846,8.638329883416494,0.0816562286020741,1.1383243923385937,0.0937579802067667,8.195639312267303,0.0006780788462861253,0.00029726562499999995,19.337108254432678,0.6316911205515325,0.0003024,3481.746131505273,65.0,100.0,20000,20000,100,51,46,3,98.80136276107244,0.0,97.0,0.0,3.0,0.0,0.0,0.0,0.0,skipped
10,4620.553047180176,48,48,48,5376,1.769421100616455,455.82882833480835,8.60634332895279,0.06795687471533719,1.1351555697619915,0.07785090579462695,8.196091532707214,0.0008451972957096592,0.000296875,19.20857294400533,0.5342308466228991,0.000336,3038.281841517,65.0,100.0,20000,20000,100,46,50,4,98.75984077841663,1.0,95.0,0.0,4.0,0.0,0.0,0.0,0.0,skipped
