iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,eval_requests,eval_cache_hits,eval_cache_misses,eval_batches,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
1,415.422244310379,64,64,64,16384,3.5160577297210693,411.83949422836304,8.385169744491577,0.004298741312656873,0.9875697810202837,0.03424088657612392,8.43499681353569,6.25514824077964e-05,0.0002,42.780128717422485,8.182125501298309,0.000128,4659.764218746132,75.0,0.0,0,50000,warmup,0,120,0.95,12,6.0,16,3,2,11,35.3091037402964,31.25,0.0,0.0,68.75,44432,2144,42288,1407,0.0,0.0,0.0,0.0,skipped
2,630.3209710121155,80,80,80,20480,2.196009635925293,212.65378713607788,8.41005312204361,0.00353386011808983,1.0846908785402776,0.052799014728309376,8.434838569164276,6.35252322663915e-05,0.0002,31.627983736991883,11.668243612334635,0.000288,9326.006436839114,75.0,2.834,1417,50000,warmup,0,120,0.95,12,6.0,20,1,1,18,43.11713106295149,10.0,0.0,0.0,90.0,122401,4291,118110,3246,0.0,0.0,0.0,0.0,skipped
3,832.547828912735,96,96,96,24576,2.522463321685791,199.6660077571869,8.427540997664133,0.004176112682188216,1.18908533329765,0.08438147215879038,8.434830913941065,5.831828341037115e-05,0.000199609375,35.92888001600901,14.030375078790549,0.00048,9742.857225601036,75.0,6.710000000000001,3355,50000,warmup,0,120,0.95,12,6.0,24,4,8,12,59.653400503778336,50.0,0.0,0.0,50.0,232843,6521,226322,5701,0.0,0.0,0.0,0.0,skipped
4,1060.2743301391602,112,112,112,28672,3.0705454349517822,224.61628246307373,8.435071689741951,0.004449151699415088,1.096071545034647,0.06584575007371224,8.434878596237727,5.567174039128783e-05,0.00019921875000000001,29.16097777230399,9.765666993731454,0.000704,9337.75467824994,75.0,10.68,5340,50000,warmup,0,120,0.95,12,6.0,28,5,7,16,74.60799281544679,42.857142857142854,0.0,0.0,57.142857142857146,386763,9129,377634,8776,0.0,0.0,0.0,0.0,skipped
5,1322.1490986347198,128,128,128,32768,4.2273054122924805,257.60221457481384,8.433578483760357,0.004600173259025439,1.1202947702258825,0.09364745656611594,8.434721805155277,6.046580136295879e-05,0.000198828125,30.65605390816927,11.124861940057867,0.00096,7751.509958261997,75.0,15.134,7567,50000,ramp,1,120,0.95,12,6.0,32,5,7,20,90.74371126503829,37.5,0.0,0.0,62.5,613748,12413,601335,12666,0.0,0.0,0.0,0.0,skipped
6,1561.1465647220612,128,128,128,32768,3.331554889678955,235.62515711784363,8.423215068876743,0.0052187381290207165,1.124217285308987,0.09789996102656753,8.4346479550004,6.896713588595526e-05,0.00019843750000000002,30.039729736745358,10.58414867797812,0.001216,9835.647643541508,75.0,20.62,10310,50000,ramp,1,118,0.94,11,5.7,32,8,6,18,111.47457627118644,43.75,0.0,0.0,56.25,876719,15910,860809,16635,0.0,0.0,0.0,0.0,skipped
7,2316.9026958942413,128,128,128,32768,3.5245230197906494,296.50647616386414,8.408345811069012,0.005984418041016266,1.0582829578779638,0.08586814768480391,8.434442020952702,0.00010851574973592502,0.000198046875,30.554149582982063,9.205082333843984,0.001472,9297.144554313725,75.0,25.812,12906,50000,ramp,1,116,0.93,11,5.4,32,8,9,15,133.95365853658538,56.25,0.0,0.0,43.75,1176170,19446,1156724,21018,41.666666666666664,66.66666666666667,33.333333333333336,455.5127935409546,accept (auto)
8,2639.031589269638,128,128,128,32768,3.8468973636627197,318.2311050891876,8.39345645904541,0.007172787747107319,1.019964441191405,0.06910504143927386,8.434039153158665,0.00013583616876588928,0.00019765625,30.361219495534897,11.739264008173706,0.001728,8518.033340198303,75.0,30.732,15366,50000,ramp,1,114,0.92,10,5.1,32,5,5,22,144.1084637268848,31.25,0.0,0.0,68.75,1543695,24246,1519449,26376,0.0,0.0,0.0,0.0,skipped
9,2868.0144205093384,128,128,128,32768,3.641770601272583,225.29309558868408,8.37071930617094,0.009100488380020465,1.0095803546719253,0.0883733362402394,8.433408573269844,0.00020654037579953937,0.000197265625,29.90829272940755,10.664805543524052,0.001984,8997.821001836175,75.0,36.356,18178,50000,ramp,1,112,0.91,10,4.8,32,8,10,14,156.9200930954228,59.375,0.0,0.0,40.625,1912832,28486,1884346,31319,0.0,0.0,0.0,0.0,skipped
10,3045.3106718063354,128,128,128,32768,3.5588557720184326,173.69491171836853,8.340176731348038,0.009798433255356705,0.9810581509955227,0.08268595177136336,8.432453379034996,0.0004016130266311268,0.000196875,32.06836324185133,9.120773402144101,0.0019998228450461533,9207.453771416922,75.0,41.512,20756,50000,ramp,1,110,0.9,9,4.5,32,12,2,18,156.26856714178544,43.75,0.0,0.0,56.25,2291731,32846,2258885,36366,0.0,0.0,0.0,0.0,skipped
