iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
11,5314.792680978775,48,48,48,5376,1.9598772525787354,478.0369293689728,8.564938604831696,0.09449719660194308,1.1822769020994504,0.0908700745700805,8.200457294782003,0.0015357181712866775,0.000296484375,20.112217942873638,0.6149955775451026,0.00036960000000000004,2743.0289284323567,65.0,100.0,21000,21000,100,53,46,1,98.8615937687238,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,skipped
12,5789.6147701740265,48,48,48,5376,1.8399975299835205,470.7425768375397,8.525593737761179,0.0900615215479816,1.1801467289527257,0.07958748498795831,8.200880368550619,0.0014500541190963258,0.00029609374999999997,20.17199714978536,0.5984842880129086,0.0004032,2921.743052583418,65.0,100.0,21000,21000,100,42,58,0,98.89549087618761,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped
13,6277.451238393784,48,48,48,5376,1.7119991779327393,483.9865198135376,8.520245254039764,0.09035373409423884,1.15705610315005,0.08302770337281534,8.20036373535792,0.0014079046719211777,0.00029570312499999996,19.83779215812683,0.6927662745457664,0.0004368,3140.1884237418785,65.0,100.0,21000,21000,100,46,52,2,98.84678747940691,0.0,98.0,0.0,2.0,0.0,0.0,0.0,0.0,skipped
14,6765.871133089066,48,48,48,5376,1.9274587631225586,483.9397430419922,8.484382410844168,0.10926602904218194,1.1530343530078728,0.08522401665689515,8.200766404469809,0.001541562741910088,0.0002953125,19.813336094220478,0.5798192745026284,0.00047040000000000005,2789.164729672696,65.0,100.0,21000,21000,100,51,48,1,98.83989891482086,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,skipped
15,7265.297243356705,48,48,48,5376,1.5870685577392578,495.9481909275055,8.488597989082336,0.10003954003840804,1.1180620479087036,0.08445123898920978,8.20079799493154,0.0017962238759903005,0.000294921875,19.3625750541687,0.6093631002866595,0.000504,3387.3772962007306,65.0,100.0,21000,21000,100,47,47,6,98.72759226713532,0.0,94.0,0.0,6.0,0.0,0.0,0.0,0.0,skipped
16,8755.846228599548,48,48,48,5376,1.7338128089904785,503.66963839530945,8.432300090789795,0.09609704153076572,1.1173891437550385,0.08698658149752987,8.199999392032623,0.001488668907649522,0.00029453125,19.426365693410236,0.5406238967680025,0.0005376000000000001,3100.6807494577247,65.0,100.0,21000,21000,100,50,47,3,98.77017723743958,0.0,97.0,0.0,3.0,50.0,100.0,0.0,980.0080714225769,reject
17,9224.741104364395,48,48,48,5376,1.7857863903045654,465.12444591522217,8.385116994380951,0.12162256988737688,1.1336336495975654,0.08841638299825294,8.199385523796082,0.0016821475881369271,0.00029414062499999997,19.448410749435425,0.5891493323638622,0.0005712,3010.438442798931,65.0,100.0,21000,21000,100,57,41,2,98.83109919571045,0.0,98.0,0.0,2.0,0.0,0.0,0.0,0.0,skipped
18,9698.763751983643,48,48,48,5376,1.6363341808319092,470.39418029785156,8.342586596806845,0.13699968116812444,1.1384083951512973,0.08201875294944244,8.198331534862518,0.0015288349188267477,0.00029374999999999996,19.336185216903687,0.6013593237683744,0.0006048,3285.392472378015,65.0,100.0,21000,21000,100,49,50,1,98.88798185941043,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,skipped
19,10176.648020029068,48,48,48,5376,1.8692784309387207,473.8294472694397,8.317440648873648,0.1330163907387966,1.1277486222485702,0.08305998075212412,8.196274300416311,0.0020260068666837373,0.000293359375,19.246358513832092,0.628343837295018,0.0006384,2875.97605098362,65.0,100.0,21000,21000,100,47,50,3,98.80510234351824,0.0,97.0,0.0,3.0,0.0,0.0,0.0,0.0,skipped
20,10659.213198900223,48,48,48,5376,1.9480023384094238,478.4350974559784,8.215883245070776,0.1411346530181804,1.0992473016182582,0.07075055935643355,8.192826430002848,0.0024225347174831446,0.00029296875,18.944032112757366,0.5572880277539443,0.000672,2759.7502805821027,65.0,100.0,21000,21000,100,53,45,2,98.86044390392216,1.0,97.0,0.0,2.0,0.0,0.0,0.0,0.0,skipped
21,11184.204452753067,48,48,48,5376,1.7725133895874023,520.8518490791321,8.239006419976553,0.14468240282100575,1.112112183123827,0.08566963882100743,8.1886119445165,0.0025098277578568667,0.000292578125,18.880973021189373,0.6323118689479179,0.0006999933325729114,3032.981319961369,65.0,100.0,21000,21000,100,50,48,2,98.80188679245283,0.0,98.0,0.0,2.0,0.0,0.0,0.0,0.0,skipped
22,11681.465845108032,48,48,48,5376,1.7163350582122803,493.0023283958435,8.112969855467478,0.1860018256090252,1.1302046899994214,0.074756753036891,8.182962457338968,0.003767842742535599,0.00029218749999999997,18.80178964138031,0.4670230089738133,0.0006996733877798257,3132.2555431569376,65.0,100.0,21000,21000,100,58,41,1,98.83148065807025,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,skipped
23,12178.881522893906,48,48,48,5376,1.7829349040985107,493.03714323043823,8.013453662395477,0.19301694459824967,1.0775112720827262,0.07789757925598659,8.17335452636083,0.006660174695265227,0.00029179687499999996,18.341107487678528,0.637872686648563,0.0006988743115478408,3015.2531018614045,65.0,100.0,21000,21000,100,54,42,4,98.73966220151426,0.0,96.0,0.0,4.0,0.0,0.0,0.0,0.0,skipped
24,12678.80160856247,48,48,48,5376,1.8210077285766602,495.7371735572815,7.947532931963603,0.22988684043300234,1.0873504877090454,0.06469289255993699,8.157941043376923,0.010615760345868546,0.00029140625,18.397313157717388,0.5851664875261935,0.000697598122412869,2952.211523122969,65.0,100.0,21000,21000,100,56,41,3,98.76491228070175,0.0,97.0,0.0,3.0,0.0,0.0,0.0,0.0,skipped
25,13179.872589349747,48,48,48,5376,1.9614992141723633,495.5886731147766,7.815521727005641,0.23910117472774664,1.0360692950586479,0.07430602353064794,8.130553424358368,0.018033323857900723,0.000291015625,17.92009707291921,0.5479810008862078,0.000695848044139423,2740.7607207573387,65.0,100.0,21000,21000,100,56,41,3,98.78527245949927,0.0,97.0,0.0,3.0,0.0,0.0,0.0,0.0,skipped
26,13673.796200037003,48,48,48,5376,1.7517223358154297,489.69239711761475,7.707609643538793,0.23317198785948007,1.0913980926076572,0.0802636008428282,8.090113480885824,0.028166654706490234,0.000290625,18.18366503715515,0.5784136256608977,0.0006936284975771073,3068.979535216957,65.0,100.0,21000,21000,100,47,51,2,98.81641724699955,0.0,98.0,0.0,2.0,0.0,0.0,0.0,0.0,skipped
27,14171.890485286713,48,48,48,5376,1.6884002685546875,493.93234062194824,7.5089050730069475,0.2761685018584058,1.0532578080892563,0.07733310889847403,8.02259353796641,0.04186636267479693,0.00029023437499999997,17.835277160008747,0.6196733624853934,0.0006909450894931682,3184.0790955346088,65.0,100.0,21000,21000,100,51,43,6,98.70461806564043,0.0,94.0,0.0,6.0,0.0,0.0,0.0,0.0,skipped
28,14685.425889253616,48,48,48,5376,1.5815796852111816,509.91583275794983,7.3321667313575745,0.25829115060598884,0.9779232777655125,0.0676105799023896,7.925131380558014,0.06739176728462326,0.00028984374999999995,17.447948217391968,0.6773842540214888,0.0006878045984093133,3399.1331896009815,65.0,100.0,21000,21000,100,52,40,8,98.63276674760749,0.0,92.0,0.0,8.0,0.0,0.0,0.0,0.0,skipped
