iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
1,3410.6605973243713,29,29,29,3712,2.263730525970459,3408.011454105377,8.611821536360116,0.10371501884109584,0.3820107692274554,0.029142571520907663,8.193983801479998,0.0011672107850338603,0.0003,10.333985558871564,0.441968270353451,4.373549883990719e-05,1639.771146527553,60.0,0.0,0,32000,warmup,0,130,0.38,12,7.5,72,0,1,71,137.62448260678116,2.7777777777777777,0.0,0.0,97.22222222222223,0.0,0.0,0.0,0.0,skipped
2,8185.994612693787,31,31,31,3968,0.953620195388794,4774.172692060471,8.646280688624229,0.05652208014669464,0.3250462201333815,0.04481435189097883,8.193676394800987,0.0011679415584640808,0.0003,9.606798848798197,0.6666794749380748,9.048723897911832e-05,4160.985703938699,60.0,35.484375,11355,32000,warmup,0,130,0.38,12,7.5,78,0,0,78,161.76866987179488,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,skipped
3,13459.027270555496,34,34,34,4352,1.0971760749816895,5271.736464738846,8.663303992327522,0.03092873247204264,0.23865006907897837,0.035149191781555705,8.194239279803108,0.0012073521472354889,0.00029960937499999996,7.8905697710373826,0.49991207663128173,0.00014176334106728538,3966.546572821167,60.0,74.484375,23835,32000,warmup,0,130,0.38,12,7.5,84,0,0,84,160.61651785714287,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,skipped
4,26333.49362063408,36,36,36,4608,1.1680850982666016,5648.463003158569,8.664579974280464,0.021746003693913427,0.19766012496418423,0.020672522083873268,8.194356865353054,0.0008173520530878023,0.00029921874999999995,6.9748350911670265,0.33140414093368875,0.00019605568445475637,3944.9180601979383,60.0,100.0,32000,32000,warmup,0,130,0.38,12,7.5,90,0,0,90,158.60520833333334,0.0,0.0,0.0,100.0,50.0,100.0,0.0,7223.863962650299,reject
5,31997.08441901207,38,38,38,4864,1.3328473567962646,5662.047780752182,8.664120975293612,0.018339831510701513,0.5390148554977617,0.06423388548915251,8.195440041391473,0.001015877817282037,0.000298828125,12.917747397171823,0.7071686143518614,0.0002533642691415313,3649.330116609518,60.0,100.0,32000,32000,ramp,1,130,0.38,12,7.5,96,27,28,41,159.0409759598134,0.0,57.291666666666664,0.0,42.708333333333336,0.0,0.0,0.0,0.0,skipped
6,37557.125890254974,38,38,38,4864,1.2532615661621094,5558.570641994476,8.658754298561497,0.016243146187302687,0.6572939000631633,0.0699120691023888,8.195951788048996,0.0010111944535799618,0.0002984375,14.547114121286493,0.7483923858169772,0.00031067285382830624,3881.0732981265314,60.0,100.0,32000,32000,ramp,1,127,0.3567,12,7.083,96,23,31,42,159.36021388828672,1.0416666666666667,56.25,0.0,42.708333333333336,0.0,0.0,0.0,0.0,skipped
7,43065.00691652298,38,38,38,4864,1.2198560237884521,5506.452667951584,8.644634648373252,0.018094687381842278,0.731098838542637,0.06114042036838535,8.196672364285117,0.000981024721774477,0.00029804687499999997,15.38458854273746,0.7843268174700216,0.0003679814385150812,3987.3558068714483,60.0,100.0,32000,32000,ramp,1,123,0.3333,11,6.667,96,30,29,37,159.70597402597403,1.0416666666666667,61.458333333333336,0.0,37.5,0.0,0.0,0.0,0.0,skipped
8,55256.292377233505,38,38,38,4864,1.2179663181304932,5225.608444690704,8.631417349765176,0.015254869806905037,0.8567509008081335,0.06759700874472566,8.197306532608835,0.0009430498997001836,0.00029765624999999996,16.607329017237614,0.6831116177716323,0.0004252900232018561,3993.542290616012,60.0,100.0,32000,32000,ramp,1,120,0.31,11,6.25,96,39,38,19,160.39223899470483,0.0,80.20833333333333,0.0,19.791666666666668,50.0,100.0,0.0,6963.482689142227,reject
