iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,eval_requests,eval_cache_hits,eval_cache_misses,eval_batches,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
11,2866.635177373886,128,128,128,32768,3.8567824363708496,143.91588950157166,8.337008677423,0.00999778183881098,1.0728017324581742,0.061675195763123615,8.433801501989365,0.0003556806169760923,0.00019648437500000002,28.821737684309483,8.097322631884337,0.0019994836806284167,8496.20131303906,75.0,97.97,48985,50000,ramp,1,108,0.89,8,4.2,64,11,13,40,74.12426686217009,37.5,0.0,0.0,62.5,3288722,62491,3226231,81402,0.0,0.0,0.0,0.0,skipped
12,3009.876173734665,128,128,128,32768,4.50953221321106,138.68734860420227,8.300749726593494,0.012833515864031341,1.0486587579362094,0.06828525969581693,8.432126007974148,0.0006205063545082976,0.00019609375,27.95417519658804,9.015176025124973,0.001998813311279033,7266.3856140118805,75.0,100.0,50000,50000,ramp,1,106,0.88,8,3.9,64,10,14,40,74.62798445308162,37.5,0.0,0.0,62.5,3670744,68824,3601920,89984,0.0,0.0,0.0,0.0,skipped
13,3148.7933378219604,128,128,128,32768,4.185719966888428,134.68434858322144,8.261230193078518,0.014853109873146335,1.054210695438087,0.06451260345446919,8.429612278938293,0.0008086003017046054,0.00019570312500000002,26.927470311522484,7.791647120100545,0.0019978682015807736,7828.5217977348375,75.0,100.0,50000,50000,ramp,1,104,0.87,7,3.6,64,10,13,41,74.12093365190222,35.9375,0.0,0.0,64.0625,4051650,75153,3976497,97682,0.0,0.0,0.0,0.0,skipped
14,3792.427054166794,128,128,128,32768,4.316004753112793,140.90358996391296,8.210243180394173,0.017523773717983523,1.0754470750689507,0.06839579788590268,8.42594002187252,0.001440335327543453,0.0001953125,26.909968197345734,7.476805647980649,0.0019966486404254086,7592.206652776977,75.0,100.0,50000,50000,ramp,1,102,0.86,7,3.3,64,11,14,39,74.39606209769026,39.0625,0.0,0.0,60.9375,4423877,81129,4342748,106188,41.666666666666664,50.0,50.0,498.1954255104065,accept (auto)
15,3958.4794714450836,128,128,128,32768,3.829796314239502,155.51831698417664,8.153885006904602,0.021866077770759884,1.0435551195405424,0.062474476688169654,8.41946516185999,0.0027547985578003525,0.000194921875,26.159868977963924,8.28112822518544,0.001995155000596311,8556.068602960906,75.0,100.0,50000,50000,steady,1,100,0.85,6,3.0,64,8,17,39,74.61159635755436,39.0625,0.0,0.0,60.9375,4804218,87145,4717073,114944,0.0,0.0,0.0,0.0,skipped
16,4107.483914613724,128,128,128,32768,5.0794947147369385,143.85826587677002,8.070003166794777,0.02947401028264649,1.0426385630853474,0.062484801671959946,8.405338861048222,0.005021793667715113,0.00019453125000000002,25.708801291882992,7.675003597683356,0.001993387738654506,6451.035356908924,75.0,100.0,50000,50000,steady,1,100,0.85,6,3.0,64,8,17,39,74.45396825396826,39.0625,0.0,0.0,60.9375,5182844,93211,5089633,123158,0.0,0.0,0.0,0.0,skipped
17,4252.451195478439,128,128,128,32768,4.153456449508667,140.76413321495056,7.98042481765151,0.03019634065726755,1.0487191742286086,0.06828579406572327,8.382597908377647,0.007805566974257808,0.000194140625,26.039470575749874,6.718677812670852,0.0019913473947991175,7889.332751731703,75.0,100.0,50000,50000,steady,1,100,0.85,6,3.0,64,12,14,38,75.46049310813434,42.1875,0.0,0.0,57.8125,5552288,99142,5453146,131780,0.0,0.0,0.0,0.0,skipped
18,4395.510860919952,128,128,128,32768,4.36697793006897,138.64615392684937,7.896266207098961,0.031238320373000658,1.033151218201965,0.06622359293946764,8.351174511015415,0.011594531053353065,0.00019375000000000002,26.817033782601357,6.938168451900497,0.0019890345927022417,7503.587268984086,75.0,100.0,50000,50000,steady,1,100,0.85,6,3.0,64,10,12,42,73.60254115962778,34.375,0.0,0.0,65.625,5941703,105559,5836144,140160,0.0,0.0,0.0,0.0,skipped
19,4546.100832223892,128,128,128,32768,4.38239049911499,146.16344833374023,7.8090563006699085,0.032948924204034585,1.0295441756024957,0.0663963228116289,8.30159117281437,0.01786240219028013,0.000193359375,25.08117025345564,7.38495997481844,0.001986450039318312,7477.197663379699,75.0,100.0,50000,50000,steady,1,100,0.85,6,3.0,64,10,14,40,73.62954465231203,37.5,0.0,0.0,62.5,6336594,112098,6224496,148559,0.0,0.0,0.0,0.0,skipped
20,4702.567585229874,128,128,128,32768,4.341361999511719,152.08074617385864,7.699326850473881,0.040467752089433505,1.0464805508963764,0.07691367316383246,8.23424006253481,0.01709215116044458,0.00019296875,24.306022115051746,6.539811732119564,0.0019835945246680026,7547.861708764549,75.0,100.0,50000,50000,steady,1,100,0.85,6,3.0,64,17,9,38,74.42798812175204,40.625,0.0,0.0,59.375,6714632,118417,6596215,157650,0.0,0.0,0.0,0.0,skipped
