iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,eval_requests,eval_cache_hits,eval_cache_misses,eval_batches,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
1,197.89101672172546,64,64,64,16384,3.3432018756866455,194.47873330116272,8.365749165415764,0.0070120593111517035,0.9883970003575087,0.01351327567099313,8.434903904795647,7.579745850895049e-05,0.0002,19.633127689361572,5.617669519221812,0.000128,4900.6911964103165,75.0,0.0,0,50000,warmup,0,120,0.95,12,6.0,32,1,0,31,35.134705332086064,87.5,0.0,0.0,12.5,41796,6489,35307,1564,0.0,0.0,0.0,0.0,skipped
2,497.4959714412689,80,80,80,20480,2.3934600353240967,297.1718518733978,8.395146429538727,0.004774471542482051,1.2729904040694238,0.0850099019635911,8.434557342529297,9.982624343149384e-05,0.0002,20.570629131793975,9.561742616201737,0.000288,8556.650078858249,75.0,4.276,2138,50000,warmup,0,120,0.95,12,6.0,40,5,9,26,27.844940476190477,35.0,0.0,0.0,65.0,130105,10299,119806,3954,0.0,0.0,0.0,0.0,skipped
3,706.6113164424896,96,96,96,24576,2.8400685787200928,206.22024846076965,8.401835521062216,0.004901094119242932,1.0860151189068954,0.05358616932715086,8.434616208076477,8.745188389807508e-05,0.000199609375,27.410661538441975,9.274592302968182,0.00048,8653.31217145307,75.0,10.996,5498,50000,warmup,0,120,0.95,12,6.0,48,5,8,35,40.02105517909003,27.083333333333332,0.0,0.0,72.91666666666667,284114,15012,269102,7688,0.0,0.0,0.0,0.0,skipped
4,996.3215293884277,112,112,112,28672,3.098722219467163,286.5727713108063,8.412111393042974,0.0047716399652723215,1.078242284378835,0.0656009154127495,8.434526894773756,0.0001002534804026579,0.00019921875000000001,31.856425361973898,8.566681998597582,0.000704,9252.846163451934,75.0,19.259999999999998,9630,50000,warmup,0,120,0.95,12,6.0,56,10,12,34,55.23829052449817,39.285714285714285,0.0,0.0,60.714285714285715,524121,20205,503916,12945,0.0,0.0,0.0,0.0,skipped
5,1318.1733527183533,128,128,128,32768,3.4070053100585938,318.4068946838379,8.414859518408775,0.005184448963731592,1.067009499296546,0.065257270063171,8.434434123337269,7.113239969647508e-05,0.000198828125,30.19558586925268,8.870228312425999,0.00096,9617.830621883139,75.0,28.526,14263,50000,ramp,1,120,0.95,12,6.0,64,13,8,43,70.95247933884298,32.8125,0.0,0.0,67.1875,878838,26481,852357,20066,0.0,0.0,0.0,0.0,skipped
6,1510.4652922153473,128,128,128,32768,3.5931806564331055,188.6592195034027,8.411331795156002,0.005848359050119676,1.0652503934688866,0.06892901036636087,8.434438802301884,8.75613809131882e-05,0.00019843750000000002,31.554364055395126,8.889648626444888,0.001216,9119.496939663559,75.0,39.174,19587,50000,ramp,1,118,0.94,11,5.7,64,13,9,42,74.90082493125573,35.9375,0.0,0.0,64.0625,1261628,33041,1228587,27673,0.0,0.0,0.0,0.0,skipped
7,2140.936131477356,128,128,128,32768,3.893880605697632,166.8472981452942,8.402194768190384,0.006482486501925026,1.0596528993919492,0.06606821966402324,8.434471666812897,8.650954570749576e-05,0.000198046875,31.2274361923337,8.543000409131382,0.001472,8415.2554528901,75.0,50.083999999999996,25042,50000,ramp,1,116,0.93,11,5.4,64,11,8,45,74.20939130434783,29.6875,0.0,0.0,70.3125,1659340,40048,1619292,36112,56.25,62.5,37.5,459.5262472629547,accept (auto)
8,2291.2380809783936,128,128,128,32768,3.795154333114624,146.46765422821045,8.387015141546726,0.007049287842138281,1.0768833416514099,0.05387727175678752,8.43416292220354,0.0001791704293299673,0.00019765625,26.924442894756794,8.148877088019736,0.001728,8634.167974167156,75.0,61.584,30792,50000,ramp,1,114,0.92,10,5.1,64,8,7,49,74.22490931076179,25.0,0.0,0.0,75.0,2058117,47143,2010974,44197,0.0,0.0,0.0,0.0,skipped
9,2433.690218925476,128,128,128,32768,3.8305470943450928,138.5813102722168,8.368159927427769,0.009468317579141038,1.076222149655223,0.05796897847069071,8.433582529425621,0.00023222072059311214,0.000197265625,28.56212256103754,9.396049887173286,0.001984,8554.3916294292,75.0,73.162,36581,50000,ramp,1,112,0.91,10,4.8,64,12,11,41,76.25296735905044,39.0625,0.0,0.0,60.9375,2440103,53816,2386287,52064,0.0,0.0,0.0,0.0,skipped
10,2577.0993704795837,128,128,128,32768,4.241007089614868,139.11189222335815,8.343003146350384,0.009684677975565539,1.1277623288333416,0.07321641126855762,8.432748414576054,0.00033187346678407884,0.000196875,28.96307959407568,10.291134234931976,0.0019998791047170636,7726.4666876507645,75.0,83.946,41973,50000,ramp,1,110,0.9,9,4.5,64,14,14,36,76.54702495201535,45.3125,0.0,0.0,54.6875,2809716,60438,2749278,59800,0.0,0.0,0.0,0.0,skipped
