iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
11,62865.843144893646,53,53,53,6784,1.760772705078125,4704.771406412125,8.518278751733169,0.030131009705502816,0.47157193411071346,0.06344334583985933,8.214823884784051,0.0012392819686530456,0.000296484375,10.47172701133872,0.8803406182028153,0.0004829861111111111,3852.8539092153837,60.0,100.0,32000,32000,ramp,1,150,0.48,16,9.0,96,29,27,40,115.1426727317433,1.0416666666666667,57.291666666666664,0.0,41.666666666666664,0.0,0.0,0.0,0.0,skipped
12,67366.61980104446,53,53,53,6784,1.6772997379302979,4498.853490591049,8.496692153642762,0.02203635445237717,0.6390938443957634,0.06250065765643982,8.215594705545678,0.001534436980427817,0.00029609374999999997,12.062166303958533,0.8802252372129097,0.0005308333333333334,4044.596112780122,60.0,100.0,32000,32000,ramp,1,146,0.4686,16,8.786,96,23,31,42,115.099760675148,3.125,54.166666666666664,0.0,42.708333333333336,0.0,0.0,0.0,0.0,skipped
13,71972.02813696861,53,53,53,6784,1.7084152698516846,4603.48375082016,8.465048412107071,0.025009465858552096,0.6028340273308304,0.06332334796776812,8.21569100865778,0.00140412887025272,0.00029570312499999996,11.333413789857108,0.7284632298319103,0.0005786805555555555,3970.9314940675695,60.0,100.0,32000,32000,ramp,1,143,0.4571,15,8.571,96,28,26,42,115.14406086901842,3.125,54.166666666666664,0.0,42.708333333333336,0.0,0.0,0.0,0.0,skipped
14,76444.57029795647,53,53,53,6784,1.898850440979004,4470.422719717026,8.440505549592793,0.029056781271421857,0.6865465191175353,0.06348699654975677,8.216041133088886,0.0012912746598329624,0.0002953125,11.743477479466852,0.7964437226079583,0.0006265277777777777,3572.687902951601,60.0,100.0,32000,32000,ramp,1,139,0.4457,15,8.357,96,31,33,32,115.40998240698508,1.0416666666666667,65.625,0.0,33.333333333333336,0.0,0.0,0.0,0.0,skipped
15,80857.18530774117,53,53,53,6784,1.7258033752441406,4410.684378385544,8.412610395899359,0.03174969373259797,0.6463920682106378,0.06215950552353541,8.215949490385235,0.0015558862613482688,0.000294921875,10.786083221435547,0.7392517976935056,0.0006205071821529455,3930.922894991037,60.0,100.0,32000,32000,ramp,1,136,0.4343,15,8.143,96,25,36,35,115.34282001299545,4.166666666666667,60.416666666666664,0.0,35.416666666666664,0.0,0.0,0.0,0.0,skipped
16,97466.86800956726,53,53,53,6784,1.6783804893493652,4319.26322722435,8.377766069376245,0.028680367966120883,0.7077522007924206,0.05169137582331237,8.213637909799251,0.001488707243420851,0.00029453125,10.802834636760208,0.5683427851888101,0.00044461156890828715,4041.991695595711,60.0,100.0,32000,32000,ramp,1,132,0.4229,15,7.929,96,27,42,27,115.83896700919416,1.0416666666666667,70.83333333333333,0.0,28.125,50.0,100.0,0.0,12287.671260595322,reject
17,101798.44981813431,53,53,53,6784,1.8001701831817627,4329.577500104904,8.354167956226277,0.03421927503321991,0.7457756400108337,0.058701810129114323,8.212095080681568,0.0015160232315441467,0.00029414062499999997,11.094383455672354,0.8473937156209492,0.0003050151377826792,3768.532588407516,60.0,100.0,32000,32000,ramp,1,129,0.4114,14,7.714,96,34,34,28,115.7063066776587,0.0,70.83333333333333,0.0,29.166666666666668,0.0,0.0,0.0,0.0,skipped
18,106135.89214134216,53,53,53,6784,1.7941293716430664,4335.430051803589,8.338709543336112,0.0353314488020385,0.7486636323748894,0.06769752080166772,8.210501346948012,0.001704859929298607,0.00029374999999999996,10.998117878751934,0.7085885339469974,0.0003,3781.221191305286,60.0,100.0,32000,32000,ramp,1,125,0.4,14,7.5,96,37,31,28,115.7509931005645,2.0833333333333335,68.75,0.0,29.166666666666668,0.0,0.0,0.0,0.0,skipped
19,110199.34486031532,53,53,53,6784,1.755279541015625,4061.4909052848816,8.312158962465682,0.0361808215415015,0.8501117341923263,0.060383328526478874,8.2086786594031,0.002359081684795299,0.000293359375,11.579968452453613,0.5653100789460317,0.0003,3864.9114522662867,60.0,100.0,32000,32000,ramp,1,121,0.3886,14,7.286,96,37,45,14,116.29390234975477,0.0,85.41666666666667,0.0,14.583333333333334,0.0,0.0,0.0,0.0,skipped
20,114404.55840444565,53,53,53,6784,1.5924396514892578,4203.420689582825,8.302934682594156,0.030978079469723325,0.7634034010599244,0.057513445215549915,8.207709564352935,0.002322687181405939,0.00029296875,10.757178468524286,0.8908451257331651,0.0003,4260.130042388462,60.0,100.0,32000,32000,ramp,1,118,0.3771,13,7.071,96,33,34,29,115.86179033164699,1.0416666666666667,68.75,0.0,30.208333333333332,0.0,0.0,0.0,0.0,skipped
21,118374.33097290993,53,53,53,6784,1.594712257385254,3967.971405506134,8.276919778787866,0.03394900770812091,0.81894529203199,0.058493584663642545,8.20442359852341,0.002273732133993239,0.000292578125,10.941544100923359,0.5517690930439907,0.0003,4254.058980598345,60.0,100.0,32000,32000,ramp,1,114,0.3657,13,6.857,96,35,48,13,116.95507539250738,1.0416666666666667,85.41666666666667,0.0,13.541666666666666,0.0,0.0,0.0,0.0,skipped
22,122198.83160066605,53,53,53,6784,1.5541369915008545,3822.74125623703,8.260343083795512,0.04140512817915342,0.8723224356489362,0.05644664778626352,8.203165486173809,0.002350869208182392,0.00029218749999999997,11.149432056355026,0.7741421034788204,0.0003,4365.123561886642,60.0,100.0,32000,32000,ramp,1,111,0.3543,13,6.643,96,50,34,12,116.79913009094504,1.0416666666666667,86.45833333333333,0.0,12.5,0.0,0.0,0.0,0.0,skipped
23,125892.55925273895,53,53,53,6784,1.5550546646118164,3691.9717404842377,8.244287580814001,0.03927493614198815,0.9145298723904591,0.0636128692459523,8.200115797654638,0.002515048373624834,0.00029179687499999996,11.125429837208873,0.6472599195167492,0.0003,4362.547603233916,60.0,100.0,32000,32000,ramp,1,107,0.3429,13,6.429,96,44,44,8,117.26685209424083,1.0416666666666667,90.625,0.0,8.333333333333334,0.0,0.0,0.0,0.0,skipped
24,141238.83618998528,53,53,53,6784,1.5835397243499756,3625.9697701931,8.227036692061514,0.03854913328228801,0.9664928654454789,0.04703546978709864,8.19808382358191,0.002768645320445764,0.00029140625,11.322877398077047,0.6212905015077576,0.0003,4284.073140498419,60.0,100.0,32000,32000,ramp,1,104,0.3314,12,6.214,96,41,50,5,117.22754240828947,0.0,94.79166666666667,0.0,5.208333333333333,50.0,100.0,0.0,11717.731519937515,reject
