iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,eval_requests,eval_cache_hits,eval_cache_misses,eval_batches,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
1,295.6668643951416,80,80,80,20480,3.8872385025024414,291.6928493976593,8.420894610881806,0.004357790676866246,1.0496703140437602,0.03283589414436776,8.435558938980103,5.901716632484064e-05,0.0002,16.86697573065758,6.278191298713911,0.00016,5268.521596196331,75.0,0.0,0,80000,warmup,0,120,0.95,12,6.0,80,11,7,62,11.87440625873149,22.5,0.0,0.0,77.5,83931,7265,76666,5014,0.0,0.0,0.0,0.0,skipped
2,545.5088741779327,100,100,100,25600,2.829500913619995,246.96937084197998,8.433422479629517,0.004420827667320959,1.1479331308603287,0.05465186148553939,8.435557308197021,5.095706319319058e-05,0.0002,17.06635585308075,6.900636181099502,0.00035999999999999997,9047.531978792676,75.0,8.9475,7158,80000,warmup,0,120,0.95,12,6.0,100,11,15,74,21.38056502143564,27.0,0.0,0.0,73.0,267409,16702,250707,10931,0.0,0.0,0.0,0.0,skipped
3,846.6134872436523,120,120,120,30720,3.5931036472320557,297.47156739234924,8.42187884648641,0.0042910856046399085,1.0942419285575549,0.05440090438414991,8.435625179608662,5.726346358026892e-05,0.000199609375,21.33459929227829,8.34121746265635,0.0006,8549.711618718577,75.0,20.318749999999998,16255,80000,warmup,0,120,0.95,12,6.0,120,16,13,91,32.91768579492004,24.166666666666668,0.0,0.0,75.83333333333333,592276,28292,563984,21698,0.0,0.0,0.0,0.0,skipped
4,1147.004843711853,128,128,128,32768,3.9867942333221436,296.36418104171753,8.41820328682661,0.004309430909136299,1.0846149446442723,0.05880552938539244,8.435614071786404,5.5608405921262396e-05,0.00019921875000000001,26.0493446290493,7.481269338585378,0.000856,8219.134994758648,75.0,33.606249999999996,26885,80000,warmup,0,120,0.95,12,6.0,140,10,21,109,40.1294033069734,23.571428571428573,0.0,0.0,76.42857142857143,1059732,42391,1017341,32919,0.0,0.0,0.0,0.0,skipped
5,1448.2504317760468,128,128,128,32768,4.419721603393555,296.7828440666199,8.409432977437973,0.004399102058754946,1.0796895870007575,0.06172660191873821,8.435541041195393,6.168808575097195e-05,0.000198828125,30.795085236430168,8.08742344966543,0.0011120000000000001,7414.04163892134,75.0,49.254999999999995,39404,80000,ramp,1,120,0.95,12,6.0,160,26,17,117,40.51707421401583,27.5,0.0,0.0,72.5,1589189,58055,1531134,48144,0.0,0.0,0.0,0.0,skipped
6,1968.0910003185272,128,128,128,32768,6.5087127685546875,513.2341265678406,8.40143994987011,0.004931838420749823,1.0780171733349562,0.0520408201075001,8.435534089803696,6.185313161927596e-05,0.00019843750000000002,27.459555633366108,6.771725903723334,0.001368,5034.482418445453,75.0,66.78875,53431,80000,ramp,1,118,0.94,11,5.7,160,32,13,115,40.51702341617584,28.75,0.0,0.0,71.25,2114301,74205,2040096,67294,0.0,0.0,0.0,0.0,skipped
7,3743.514600753784,128,128,128,32768,6.216104745864868,918.2222604751587,8.389434359967709,0.006601441012388394,1.0442858505994081,0.049238903817042046,8.435376890003681,0.00012380926371759838,0.000198046875,27.57575312256813,6.586833458315627,0.0016240000000000002,5271.468442001113,75.0,84.19125,67353,80000,ramp,1,116,0.93,11,5.4,160,21,12,127,40.22152336190213,21.875,0.0,0.0,78.125,2655891,90863,2565028,87819,50.0,58.333333333333336,41.666666666666664,850.6666023731232,accept (auto)
8,4004.6628773212433,128,128,128,32768,5.353263854980469,255.74813222885132,8.369654208421707,0.006808551228799534,1.042019304819405,0.05060600393486043,8.43492491543293,0.0001682060863662637,0.00019765625,27.70872749388218,6.562040403836309,0.00188,6121.125520370891,75.0,100.0,80000,80000,ramp,1,114,0.92,10,5.1,160,12,24,124,40.26362235607228,23.125,0.0,0.0,76.875,3191131,107198,3083933,102851,0.0,0.0,0.0,0.0,skipped
9,4639.7887489795685,128,128,128,32768,23.727935075759888,611.2654142379761,8.343943573534489,0.00926264076314689,1.0795720554888248,0.056701581446996024,8.43420534580946,0.00027432770966299535,0.000197265625,27.134471371769905,6.826298866141743,0.0019999431123088984,1380.9882695386887,75.0,100.0,80000,80000,ramp,1,112,0.91,10,4.8,160,19,22,119,40.291547227854295,26.25,0.0,0.0,73.75,3728891,123521,3605370,121923,0.0,0.0,0.0,0.0,skipped
10,5216.611810684204,128,128,128,32768,26.08149480819702,550.587783575058,8.310488298535347,0.01072656318286171,1.048752018250525,0.05229875015210757,8.433268912136555,0.0003283480711018028,0.000196875,29.117170929908752,6.8885162940486575,0.0019995274158096992,1256.3697073720448,75.0,100.0,80000,80000,ramp,1,110,0.9,9,4.5,160,16,22,122,40.392621222768796,24.375,0.0,0.0,75.625,4264809,139808,4125001,143280,0.0,0.0,0.0,0.0,skipped
