iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,eval_requests,eval_cache_hits,eval_cache_misses,eval_batches,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
1,279.87110924720764,128,128,128,16384,4.661600589752197,275.14683747291565,8.438516199588776,0.006276162658719453,0.9975775652565062,0.02234824211545749,8.437149584293365,0.00011209919244266658,0.0002,21.81707663089037,9.573771617588895,0.000128,3514.672628971618,75.0,0.0,0,50000,warmup,0,120,0.95,12,6.0,16,0,1,15,16.90102827763496,6.25,0.0,0.0,93.75,24307,1619,22688,991,0.0,0.0,0.0,0.0,skipped
2,408.7479603290558,128,128,128,16384,2.7779791355133057,126.05687642097473,8.419301606714725,0.007146367541184503,1.0870721889659762,0.05634718829076051,8.436967514455318,9.856659117099164e-05,0.0002,15.264648800250143,8.193745059986803,0.000256,5897.8124747407865,75.0,3.1119999999999997,1556,50000,warmup,0,120,0.95,12,6.0,20,1,2,17,22.79608938547486,15.0,0.0,0.0,85.0,62252,3447,58805,2007,0.0,0.0,0.0,0.0,skipped
3,509.5131938457489,128,128,128,16384,2.933134078979492,97.79359579086304,8.403672866523266,0.007241570358914965,1.0135010844096541,0.03937893482497252,8.437132701277733,0.00010577745531393666,0.000199609375,18.974509788677096,10.799466888076738,0.000384,5585.833977865883,75.0,6.691999999999999,3346,50000,warmup,0,120,0.95,12,6.0,24,4,2,18,29.26743027888446,25.0,0.0,0.0,75.0,116587,5548,111039,3218,0.0,0.0,0.0,0.0,skipped
4,644.5663592815399,128,128,128,16384,3.074237585067749,131.93947410583496,8.396395832300186,0.009740850477627613,1.0605765916407108,0.052868244919597296,8.43684335052967,0.00013248431856859188,0.00019921875000000001,14.106856232043356,11.705958734637765,0.000512,5329.4514645129275,75.0,10.708,5354,50000,warmup,0,120,0.95,12,6.0,28,3,2,23,36.572773636720285,21.428571428571427,0.0,0.0,78.57142857142857,203461,8290,195171,5557,0.0,0.0,0.0,0.0,skipped
5,846.3884162902832,128,128,128,16384,3.1090610027313232,198.6682345867157,8.372890807688236,0.01129114697286152,1.03253690386191,0.04375259464991096,8.436323262751102,0.0002602853376797745,0.000198828125,14.691081769764423,11.414279351410249,0.00064,5269.758292168145,75.0,15.806000000000001,7903,50000,ramp,1,120,0.95,12,6.0,32,1,1,30,44.69987146529563,6.25,0.0,0.0,93.75,333510,11755,321755,8489,0.0,0.0,0.0,0.0,skipped
6,1023.1922821998596,128,128,128,16384,2.952862024307251,173.81306219100952,8.35140622407198,0.0064337665836032825,1.0481346929445863,0.0716748800228454,8.435743555426598,0.00013228291730462473,0.00019843750000000002,36.471147149801254,17.019837190347104,0.000768,5548.51525913871,75.0,22.03,11015,50000,ramp,1,118,0.94,11,5.7,32,5,4,23,55.803772216177,28.125,0.0,0.0,71.875,478215,15026,463189,11921,0.0,0.0,0.0,0.0,skipped
7,1614.718500137329,128,128,128,16384,2.9500041007995605,172.49344515800476,8.344672702252865,0.006167483847522762,1.0268686613999307,0.06506355667879521,8.435492552816868,0.000138223179065433,0.000198046875,37.34645216912031,13.218598746463146,0.000896,5553.890584612858,75.0,27.544,13772,50000,ramp,1,116,0.93,11,5.4,32,5,4,23,65.59364610269671,31.25,0.0,0.0,68.75,645537,18373,627164,15549,54.166666666666664,33.333333333333336,66.66666666666667,415.8524193763733,accept (auto)
8,1779.2604970932007,128,128,128,16384,3.171738624572754,161.32828187942505,8.336340099573135,0.006561321950701125,1.0657694274559617,0.07734998251548209,8.43503874540329,0.00012581492940138804,0.00019765625,41.75257767736912,14.854722402265354,0.0009999978507043313,5165.621111735521,75.0,32.958,16479,50000,ramp,1,114,0.92,10,5.1,32,7,3,22,72.00796398891967,31.25,0.0,0.0,68.75,842371,21825,820546,19833,0.0,0.0,0.0,0.0,skipped
9,1901.2373626232147,128,128,128,16384,3.184206485748291,118.75300812721252,8.324769392609596,0.007277941340608673,1.0617338251322508,0.0849886709396205,8.434669330716133,0.00016964052009514938,0.000197265625,41.28390350937843,15.300132379031952,0.000999913792382155,5145.394958942101,75.0,38.734,19367,50000,ramp,1,112,0.91,10,4.8,32,5,6,21,73.29850213980029,34.375,0.0,0.0,65.625,1036776,25491,1011285,23951,0.0,0.0,0.0,0.0,skipped
10,2001.8535447120667,128,128,128,16384,3.437544822692871,97.13679480552673,8.314424999058247,0.007256634171964138,1.0306263049133122,0.06963680517181874,8.434197261929512,0.00018881818649337976,0.000196875,36.285502046346664,13.841805894570665,0.000999707492373679,4766.192397504582,75.0,44.342,22171,50000,ramp,1,110,0.9,9,4.5,32,3,4,25,71.94777975133215,21.875,0.0,0.0,78.125,1228055,29074,1198981,28092,0.0,0.0,0.0,0.0,skipped
11,2079.2726373672485,128,128,128,16384,1.04604172706604,76.33282971382141,8.300382427871227,0.00809205882433716,1.04415728058666,0.07014443614520488,8.433514446020126,0.00027114216293054166,0.00019648437500000002,38.23410700261593,15.081869583089821,0.0009993790137386468,15662.855100392782,75.0,49.972,24986,50000,ramp,1,108,0.89,8,4.2,32,3,6,23,74.10720819612148,28.125,0.0,0.0,71.875,1419499,32369,1387130,32116,0.0,0.0,0.0,0.0,skipped
12,2163.0702574253082,128,128,128,16384,3.1835055351257324,80.57392692565918,8.280687347054482,0.007825738005729525,1.051165156532079,0.07649152171807344,8.432696633040905,0.0002330076787951931,0.00019609375,39.560752153396606,12.29575631147883,0.000998928456883153,5146.52788230598,75.0,55.437999999999995,27719,50000,ramp,1,106,0.88,8,3.9,32,5,5,22,73.96300287356321,31.25,0.0,0.0,68.75,1614200,35888,1578312,36254,0.0,0.0,0.0,0.0,skipped
13,2243.597626686096,128,128,128,16384,3.3709747791290283,77.10541796684265,8.262225665152073,0.009073788410234573,1.0649549295194447,0.08672702245341685,8.431945227086544,0.0002507429431346668,0.00019570312500000002,39.48995077610016,13.487065718049447,0.0009983559595289537,4860.315212513455,75.0,61.00600000000001,30503,50000,ramp,1,104,0.87,7,3.6,32,6,5,21,74.72697003329634,34.375,0.0,0.0,65.625,1804325,39311,1765014,40121,0.0,0.0,0.0,0.0,skipped
14,2783.5372035503387,128,128,128,16384,3.078155040740967,70.4147777557373,8.241376101970673,0.009793807579137788,1.0483561330474913,0.08544304698937802,8.43105661869049,0.00031603120121073165,0.0001953125,40.48355369642377,16.25232028950171,0.000997661696671369,5322.668865976315,75.0,66.412,33206,50000,ramp,1,102,0.86,7,3.3,32,7,5,20,74.61529933481152,40.625,0.0,0.0,59.375,1994975,42740,1952235,44131,52.083333333333336,62.5,37.5,466.2451364994049,accept (auto)
15,2865.509004354477,128,128,128,16384,3.632085084915161,73.45798468589783,8.22003473341465,0.010498912268623347,1.0480830129235983,0.0714084940606842,8.429935365915298,0.0003435742314349022,0.000194921875,41.82966876775026,16.177299270696203,0.0009968458805257913,4510.9075412485,75.0,71.824,35912,50000,steady,1,100,0.85,6,3.0,32,4,4,24,72.47507527601205,25.0,0.0,0.0,75.0,2198024,46790,2151234,47783,0.0,0.0,0.0,0.0,skipped
16,2934.516043663025,128,128,128,16384,3.7361366748809814,65.22839212417603,8.198892965912819,0.012779898117710518,1.0517985331825912,0.08046309605944595,8.42870119959116,0.0003786871921738451,0.00019453125000000002,38.248263135552406,15.032447726321845,0.000995908760462818,4385.27854458695,75.0,77.802,38901,50000,steady,1,100,0.85,6,3.0,32,5,6,21,74.07140255009108,34.375,0.0,0.0,65.625,2388776,50256,2338520,51277,0.0,0.0,0.0,0.0,skipped
