iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
1,692.1057982444763,45,45,45,5760,3.130723237991333,688.4697008132935,8.638114992777506,0.05171620282281468,0.2598569760719935,0.026428104216500065,8.202158800760905,0.0006882786637808764,0.0003,9.702669482760959,0.7270552948422252,2.4375e-05,1839.830467957815,60.0,0.0,0,24000,warmup,0,130,0.45,16,10.0,64,1,2,61,43.54690746364072,4.6875,0.0,0.0,95.3125,0.0,0.0,0.0,0.0,skipped
2,2158.960828065872,56,56,56,7168,1.6268508434295654,1465.0068564414978,8.64433765411377,0.043995108452865944,0.21638929125453746,0.01990163923760042,8.203049148832049,0.0006560654498637777,0.0003,7.939513061727796,0.4092691145353404,5.470833333333333e-05,4406.0585080369965,60.0,26.070833333333333,6257,24000,warmup,0,130,0.45,16,10.0,80,0,0,80,73.134125,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,skipped
3,4219.968494653702,67,67,67,8576,1.9274449348449707,2058.8748767375946,8.631045127982524,0.051936914438446426,0.20929758361916043,0.021662894663118805,8.203004410017781,0.0006355972767652938,0.00029960937499999996,8.08029793981296,0.35047166792726714,9.1e-05,4449.413752351784,60.0,59.40416666666667,14257,24000,warmup,0,130,0.45,16,10.0,96,1,1,94,97.55997882477502,2.0833333333333335,0.0,0.0,97.91666666666667,0.0,0.0,0.0,0.0,skipped
4,6733.416229724884,78,78,78,9984,2.477663040161133,2510.7456986904144,8.634551390623434,0.05190451999407227,0.20351987370313743,0.02240115976738571,8.203548015692295,0.0008323784418499056,0.00029921874999999995,7.9981997930086575,0.34708885513339666,0.00013324999999999999,4029.6036378500844,60.0,98.75833333333334,23702,24000,warmup,0,130,0.45,16,10.0,112,0,1,111,97.3437947067239,0.8928571428571429,0.0,0.0,99.10714285714286,0.0,0.0,0.0,0.0,skipped
5,9597.98374247551,90,90,90,11520,2.815783739089966,2861.5481708049774,8.620357365078396,0.05534118763034348,0.1955095511343744,0.018195178423263098,8.20433717303806,0.0007551348415700949,0.000298828125,7.710601854324341,0.2655513530048077,0.000182,4091.223285394479,60.0,100.0,24000,24000,ramp,1,130,0.45,16,10.0,128,0,0,128,95.022890625,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,skipped
6,12592.967963695526,90,90,90,11520,2.615593433380127,2992.168370485306,8.576418940226237,0.06128415724541633,0.1862968330581983,0.018617129635005673,8.205514272054037,0.0006592521994301189,0.0002984375,7.43073116408454,0.24304523473197479,0.00023074999999999997,4404.354229132899,60.0,100.0,24000,24000,ramp,1,128,0.4375,16,9.75,128,0,1,127,93.81042839274546,0.78125,0.0,0.0,99.21875,0.0,0.0,0.0,0.0,skipped
7,15608.575768232346,90,90,90,11520,2.5631213188171387,3012.8382110595703,8.548292594485813,0.06335047408497069,0.1803771189517445,0.02025685816801183,8.206281259324815,0.0007399926044617962,0.00029804687499999997,7.2913304911719425,0.2902528644292884,0.00027949999999999996,4494.519988354041,60.0,100.0,24000,24000,ramp,1,125,0.425,15,9.5,128,1,0,127,94.36973798095838,0.78125,0.0,0.0,99.21875,0.0,0.0,0.0,0.0,skipped
8,18625.958661794662,90,90,90,11520,2.616863489151001,3014.5579755306244,8.49640868504842,0.06543959804984618,0.16738661097155677,0.016697960407864344,8.207017008463541,0.0007626819944428147,0.00029765624999999996,7.068750715255737,0.28892014330784055,0.00032825,4402.216641318756,60.0,100.0,24000,24000,ramp,1,122,0.4125,15,9.25,128,1,0,127,94.6664047768699,0.78125,0.0,0.0,99.21875,0.0,0.0,0.0,0.0,skipped
9,21644.013314962387,90,90,90,11520,2.5429821014404297,3015.311277627945,8.433099450005425,0.07890908606587087,0.15373203605413438,0.01394690466943188,8.206360986497668,0.0008174152627456331,0.00029726562499999995,6.810364654329088,0.20489667328306432,0.00037699999999999995,4530.114464224774,60.0,100.0,24000,24000,ramp,1,120,0.4,15,9.0,128,0,0,128,95.63765625,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,skipped
10,24650.198481082916,90,90,90,11520,2.476086378097534,3003.499998807907,8.361042510138617,0.0845605533394275,0.1422352384361956,0.01764330913102578,8.203982310824925,0.0012980771624971244,0.000296875,6.639187690946791,0.2828634859601714,0.00042575,4652.503281751919,60.0,100.0,24000,24000,ramp,1,118,0.3875,14,8.75,128,1,2,125,97.03741416054937,2.34375,0.0,0.0,97.65625,0.0,0.0,0.0,0.0,skipped
