iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
11,36808.48140048981,48,48,48,6144,1.7517976760864258,2661.259958267212,8.564518690109253,0.04904088104821195,0.9052160767217478,0.09431690556334846,8.21037624279658,0.0009683706871987844,0.000296484375,16.130949993928272,0.7985984311814404,0.0004333333333333333,3507.2543387121623,60.0,100.0,32000,32000,ramp,1,119,0.3933,13,7.0,96,46,39,11,81.3530837176581,1.0416666666666667,87.5,0.0,11.458333333333334,0.0,0.0,0.0,0.0,skipped
12,39467.81066155434,48,48,48,6144,1.423696517944336,2657.6950335502625,8.550866822401682,0.054840721821269395,0.9394827845195929,0.07257524308676627,8.211202204227448,0.000932907617251364,0.00029609374999999997,16.280921280384064,0.7718187299755399,0.00047666666666666663,4315.526464074853,60.0,100.0,32000,32000,ramp,1,116,0.3792,12,6.75,96,47,32,17,81.29397361977726,1.0416666666666667,81.25,0.0,17.708333333333332,0.0,0.0,0.0,0.0,skipped
13,42065.136043787,48,48,48,6144,1.4105868339538574,2595.7094309329987,8.540886163711548,0.05540856117065396,0.8606179455916086,0.06843919103087465,8.211920440196991,0.0007490366098996174,0.00029570312499999996,15.287572880585989,0.6876309176885869,0.00052,4355.6340184875,60.0,100.0,32000,32000,ramp,1,113,0.365,12,6.5,96,40,37,19,81.60245739199365,3.125,78.125,0.0,18.75,0.0,0.0,0.0,0.0,skipped
14,44683.89890193939,48,48,48,6144,1.4776036739349365,2617.076081752777,8.507126847902933,0.05653212810194215,0.8813191130757332,0.0700934162922509,8.212531586488089,0.0009938875895709053,0.0002953125,15.481709758440653,0.8793335955177131,0.0005633333333333333,4158.083868076887,60.0,100.0,32000,32000,ramp,1,110,0.3508,12,6.25,96,32,46,18,81.67908491540234,2.0833333333333335,79.16666666666667,0.0,18.75,0.0,0.0,0.0,0.0,skipped
15,47147.56101870537,48,48,48,6144,1.506056547164917,2461.9570429325104,8.480765342712402,0.06198482450231723,0.9394716359674931,0.06842766068751018,8.21332617600759,0.00105950356918869,0.000294921875,15.300318618615469,0.6531727253820145,0.0006066666666666666,4079.5280971128213,60.0,100.0,32000,32000,ramp,1,107,0.3367,11,6.0,96,45,42,9,82.58926174496645,0.0,90.625,0.0,9.375,0.0,0.0,0.0,0.0,skipped
16,56645.15540742874,48,48,48,6144,1.5664122104644775,2420.043235063553,8.467014372348785,0.05397723670328714,0.969923964391152,0.07111668218648115,8.21375193198522,0.0009521437520122269,0.00029453125,15.3587815562884,0.8094088037499668,0.00065,3922.339189489695,60.0,100.0,32000,32000,ramp,1,104,0.3225,11,5.75,96,39,48,9,83.14922279792746,1.0416666666666667,89.58333333333333,0.0,9.375,50.0,100.0,0.0,7075.007027626038,reject
17,59041.23956155777,48,48,48,6144,1.4495456218719482,2394.4291775226593,8.449649492899576,0.056535647493977964,0.9627997626860937,0.06398445040872673,8.214193205038706,0.0011836168474537963,0.00029414062499999997,15.006093402703604,0.6940531465020611,0.0005625,4238.56959539198,60.0,100.0,32000,32000,ramp,1,102,0.3083,11,5.5,96,47,37,12,83.3187222715173,2.0833333333333335,85.41666666666667,0.0,12.5,0.0,0.0,0.0,0.0,skipped
18,61364.21014547348,48,48,48,6144,1.5429916381835938,2321.2265107631683,8.400485654671987,0.06773362630860165,1.012410977234443,0.06860632159659204,8.21390034755071,0.0010611515777023159,0.00029374999999999996,15.035962800184885,0.7223169975047287,0.00038750000000000004,3981.875110634237,60.0,100.0,32000,32000,ramp,1,99,0.2942,10,5.25,96,41,49,6,83.89078282828282,1.0416666666666667,92.70833333333333,0.0,6.25,0.0,0.0,0.0,0.0,skipped
19,63430.06204342842,48,48,48,6144,1.512556552886963,2064.1267302036285,8.402810116608938,0.06153009995045737,1.021025139838457,0.06800021368872242,8.212614874045054,0.001116546135298338,0.000293359375,15.065175950527191,0.7644075186884898,0.0003,4061.9968808922654,60.0,100.0,32000,32000,steady,1,96,0.28,10,5.0,96,39,54,3,85.23906939430405,2.0833333333333335,95.83333333333333,0.0,2.0833333333333335,0.0,0.0,0.0,0.0,skipped
20,65561.06204366684,48,48,48,6144,1.5527725219726562,2129.224232673645,8.377063949902853,0.06573937323235811,1.0143153307338555,0.06113863845164158,8.213156123956045,0.0010418590149118333,0.00029296875,14.63883630434672,0.6048520274156683,0.0003,3956.79335708144,60.0,100.0,32000,32000,steady,1,96,0.28,10,5.0,96,48,41,7,85.42180988291328,2.0833333333333335,91.66666666666667,0.0,6.25,0.0,0.0,0.0,0.0,skipped
21,67706.00961995125,48,48,48,6144,1.6221795082092285,2143.1080021858215,8.340298573176065,0.07670314319226484,1.0729741044342518,0.06058026719444277,8.212493280569712,0.001209615127763624,0.000292578125,14.995091279347738,0.6411720539901472,0.0003,3787.496987175323,60.0,100.0,32000,32000,steady,1,96,0.28,10,5.0,96,50,46,0,84.88933424577182,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,skipped
22,69847.39049005508,48,48,48,6144,1.518291711807251,2139.6466221809387,8.333443780740103,0.07354996862713606,1.0117111677924793,0.0574858449644017,8.211613178253174,0.0013000305402606327,0.00029218749999999997,14.289612174034119,0.6985218303712984,0.0003,4046.653190701201,60.0,100.0,32000,32000,steady,1,96,0.28,10,5.0,96,42,49,5,84.97550782388959,1.0416666666666667,93.75,0.0,5.208333333333333,0.0,0.0,0.0,0.0,skipped
23,71987.14335536957,48,48,48,6144,1.5973975658416748,2137.9386372566223,8.328210175037384,0.07891896405376914,1.066001746803522,0.07218087662128266,8.210539122422537,0.0014921945412509545,0.00029179687499999996,14.46577775478363,0.7390299174821514,0.0003,3846.256017526046,60.0,100.0,32000,32000,steady,1,96,0.28,10,5.0,96,47,47,2,85.54007728128406,1.0416666666666667,96.875,0.0,2.0833333333333335,0.0,0.0,0.0,0.0,skipped
24,81005.73826694489,48,48,48,6144,1.5266520977020264,2160.641779899597,8.301253894964853,0.06854523469356553,1.0101745910942554,0.048835826108526804,8.209773898124695,0.0016127650816185428,0.00029140625,14.109075625737509,0.6472511018110244,0.0003,4024.49255416357,60.0,100.0,32000,32000,steady,1,96,0.28,10,5.0,96,42,50,4,85.02839024390244,2.0833333333333335,93.75,0.0,4.166666666666667,50.0,100.0,0.0,6855.316200017929,reject
