iter,elapsed_s,optimizer_steps,train_steps_planned,train_steps_actual,train_samples,train_time_s,selfplay_time_s,policy_loss,policy_loss_std,value_loss,value_loss_std,entropy,entropy_std,entropy_coef,avg_grad_norm,grad_norm_std,learning_rate,samples_per_sec,train_recent_pct,buffer_percent,buffer_size,buffer_capacity,adjudication_phase,adjudication_enabled,adjudication_min_plies,adjudication_value_margin,adjudication_persist_plies,adjudication_material_margin,sp_games,sp_white_wins,sp_black_wins,sp_draws,sp_visit_per_move,sp_term_natural_pct,sp_term_adjudicated_pct,sp_term_resign_pct,sp_term_exhausted_pct,arena_score_pct,arena_draw_pct,arena_decisive_pct,arena_elapsed_s,arena_decision
1,1190.2334334850311,29,29,29,3712,2.3870527744293213,1187.4358887672424,8.645078889254865,0.08115797396946145,0.2921541826478366,0.02696317214439165,8.20504251019708,0.0010459757421060261,0.0003,10.20850293389682,0.5756454294566667,2.6180555555555556e-05,1555.0556903323752,60.0,0.0,0,32000,warmup,0,130,0.45,14,8.0,58,1,0,57,55.534788540245565,8.620689655172415,0.0,0.0,91.37931034482759,0.0,0.0,0.0,0.0,skipped
2,3472.7631804943085,34,34,34,4352,1.1898064613342285,2281.11283659935,8.659805802737965,0.053269299855467384,0.2574266878997578,0.03076487727683534,8.204759401433607,0.0010547656650618871,0.0003,9.163122485665713,0.7415909694270453,5.687499999999999e-05,3657.7377425902882,60.0,32.06875,10262,32000,warmup,0,130,0.45,14,8.0,67,0,0,67,77.399116961013,1.492537313432836,0.0,0.0,98.50746268656717,0.0,0.0,0.0,0.0,skipped
3,6150.647097587585,38,38,38,4864,1.3523924350738525,2676.330454349518,8.656201362609863,0.0537915991212665,0.23307989224007256,0.024146460558286734,8.205266325097336,0.0010068949082635737,0.00029960937499999996,8.260435079273424,0.7028969540934509,9.118055555555556e-05,3596.5891806651393,60.0,69.58125,22266,32000,warmup,0,130,0.45,14,8.0,77,3,0,74,78.2449143860676,5.194805194805195,0.0,0.0,94.8051948051948,0.0,0.0,0.0,0.0,skipped
4,9217.118642807007,43,43,43,5504,1.4666783809661865,3064.802783727646,8.658308095710222,0.047110287594757196,0.20777651702248773,0.022517263872088755,8.205361543699752,0.0010885829548746596,0.00029921874999999995,7.194543838500977,0.4334451719532559,0.00013,3752.6972998498786,60.0,100.0,32000,32000,warmup,0,130,0.45,14,8.0,86,0,0,86,78.44766190569361,3.488372093023256,0.0,0.0,96.51162790697674,0.0,0.0,0.0,0.0,skipped
5,12532.913475751877,48,48,48,6144,1.5586490631103516,3314.0390625,8.655308643976847,0.04115139314117517,0.19479736344267926,0.01883582422538675,8.206066528956095,0.0009187103039576532,0.000298828125,6.918673247098923,0.24915619811419495,0.00017333333333333334,3941.8751439399593,60.0,100.0,32000,32000,warmup,0,130,0.45,14,8.0,96,1,0,95,78.80171059521732,2.0833333333333335,0.0,0.0,97.91666666666667,0.0,0.0,0.0,0.0,skipped
6,15849.843085765839,48,48,48,6144,1.4262595176696777,3315.3055238723755,8.64639812707901,0.038162626784748126,0.19584837555885315,0.024570379469982726,8.20657362540563,0.0009584508722657942,0.0002984375,7.036582042773564,0.3968925296433111,0.00021666666666666666,4307.771428609637,60.0,100.0,32000,32000,warmup,0,130,0.45,14,8.0,96,2,0,94,78.02796916968352,3.125,0.0,0.0,96.875,0.0,0.0,0.0,0.0,skipped
7,18703.61423420906,48,48,48,6144,1.5112214088439941,2852.061655521393,8.628080646197,0.04886569380726745,0.6735183273752531,0.06499545296866076,8.207157413164774,0.001009864476243357,0.00029804687499999997,14.473532875378927,0.8453960468164045,0.00026,4065.5856011858914,60.0,100.0,32000,32000,ramp,1,130,0.45,14,8.0,96,37,35,24,80.39572307252182,4.166666666666667,70.83333333333333,0.0,25.0,0.0,0.0,0.0,0.0,skipped
8,28210.430926322937,48,48,48,6144,1.4111902713775635,2912.1212615966797,8.616220235824585,0.04019312979134705,0.8496325587232908,0.07217830801997777,8.208053708076477,0.00083842034097648,0.00029765624999999996,16.26474004983902,0.8000925994918164,0.0003033333333333333,4353.7715109121345,60.0,100.0,32000,32000,ramp,1,127,0.4358,14,7.75,96,34,41,21,80.14110691644704,0.0,78.125,0.0,21.875,50.0,100.0,0.0,6592.291939020157,reject
9,31298.82080101967,48,48,48,6144,1.5287754535675049,3086.6549487113953,8.602632959683737,0.04153248165373976,0.7964668509860834,0.0690465001853967,8.20857048034668,0.0010947396952813836,0.00029726562499999995,15.328909715016684,0.8729847618214214,0.00034666666666666667,4018.902832108237,60.0,100.0,32000,32000,ramp,1,124,0.4217,13,7.5,96,26,39,31,79.97050551669432,2.0833333333333335,65.625,0.0,32.291666666666664,0.0,0.0,0.0,0.0,skipped
10,34145.264857530594,48,48,48,6144,1.5257110595703125,2844.6994802951813,8.596445262432098,0.04410908935891412,0.8092446674903234,0.07560992380804071,8.209459841251373,0.0008793905652598505,0.000296875,15.212275604406992,0.7635037120997858,0.00039,4026.9748072287953,60.0,100.0,32000,32000,ramp,1,122,0.4075,13,7.25,96,35,33,28,80.66977693541332,5.208333333333333,67.70833333333333,0.0,27.083333333333332,0.0,0.0,0.0,0.0,skipped
